202012-06-20 11:34:29,458 | INFO  | NioProcessor-1   | ServerSession                    | 22 - sshd-core - 0.5.0 | Session created...
2012-06-20 11:34:29,461 | INFO  | NioProcessor-1   | ServerSession                    | 22 - sshd-core - 0.5.0 | Client version string: SSH-2.0-OpenSSH_5.9p1 Debian-5ubuntu1
2012-06-20 11:34:29,461 | INFO  | NioProcessor-1   | ServerSession                    | 22 - sshd-core - 0.5.0 | Received SSH_MSG_KEXINIT
2012-06-20 11:34:29,465 | INFO  | NioProcessor-1   | DHG1                             | 22 - sshd-core - 0.5.0 | Received SSH_MSG_KEXDH_INIT
2012-06-20 11:34:29,471 | INFO  | NioProcessor-1   | DHG1                             | 22 - sshd-core - 0.5.0 | Send SSH_MSG_KEXDH_REPLY
2012-06-20 11:34:29,471 | INFO  | NioProcessor-1   | ServerSession                    | 22 - sshd-core - 0.5.0 | Send SSH_MSG_NEWKEYS
2012-06-20 11:34:29,473 | INFO  | NioProcessor-1   | ServerSession                    | 22 - sshd-core - 0.5.0 | Received SSH_MSG_NEWKEYS
2012-06-20 11:34:29,474 | INFO  | NioProcessor-1   | ServerSession                    | 22 - sshd-core - 0.5.0 | Received SSH_MSG_SERVICE_REQUEST 'ssh-userauth'
2012-06-20 11:34:29,474 | INFO  | NioProcessor-1   | ServerSession                    | 22 - sshd-core - 0.5.0 | Accepting user authentication request
2012-06-20 11:34:29,474 | INFO  | NioProcessor-1   | ServerSession                    | 22 - sshd-core - 0.5.0 | Authorized authentication methods: password,publickey
2012-06-20 11:34:29,474 | INFO  | NioProcessor-1   | ServerSession                    | 22 - sshd-core - 0.5.0 | Received SSH_MSG_USERAUTH_REQUEST
2012-06-20 11:34:29,474 | INFO  | NioProcessor-1   | ServerSession                    | 22 - sshd-core - 0.5.0 | Authenticating user 'karaf' with method 'none'
2012-06-20 11:34:29,474 | INFO  | NioProcessor-1   | ServerSession                    | 22 - sshd-core - 0.5.0 | Unsupported authentication method 'none'
2012-06-20 11:34:31,764 | INFO  | NioProcessor-1   | ServerSession                    | 22 - sshd-core - 0.5.0 | Received SSH_MSG_USERAUTH_REQUEST
2012-06-20 11:34:31,765 | INFO  | NioProcessor-1   | ServerSession                    | 22 - sshd-core - 0.5.0 | Authenticating user 'karaf' with method 'password'
2012-06-20 11:34:31,766 | INFO  | NioProcessor-1   | ServerSession                    | 22 - sshd-core - 0.5.0 | Authentication succeeded
2012-06-20 11:34:31,767 | INFO  | NioProcessor-1   | ServerSession                    | 22 - sshd-core - 0.5.0 | Received SSH_MSG_CHANNEL_OPEN session
2012-06-20 11:34:31,768 | INFO  | NioProcessor-1   | ChannelSession                   | 22 - sshd-core - 0.5.0 | Received SSH_MSG_CHANNEL_REQUEST on channel 0
2012-06-20 11:34:31,768 | INFO  | NioProcessor-1   | ChannelSession                   | 22 - sshd-core - 0.5.0 | Received channel request: pty-req
2012-06-20 11:34:31,769 | INFO  | NioProcessor-1   | ChannelSession                   | 22 - sshd-core - 0.5.0 | Received SSH_MSG_CHANNEL_REQUEST on channel 0
2012-06-20 11:34:31,769 | INFO  | NioProcessor-1   | ChannelSession                   | 22 - sshd-core - 0.5.0 | Received channel request: env
2012-06-20 11:34:31,769 | INFO  | NioProcessor-1   | ChannelSession                   | 22 - sshd-core - 0.5.0 | Received SSH_MSG_CHANNEL_REQUEST on channel 0
2012-06-20 11:34:31,769 | INFO  | NioProcessor-1   | ChannelSession                   | 22 - sshd-core - 0.5.0 | Received channel request: shell
2012-06-20 11:35:06,118 | INFO  | Thread-80        | ChannelSession                   | 22 - sshd-core - 0.5.0 | Send SSH_MSG_CHANNEL_EOF on channel 0
2012-06-20 11:35:06,119 | INFO  | Thread-80        | ChannelSession                   | 22 - sshd-core - 0.5.0 | Send SSH_MSG_CHANNEL_REQUEST exit-status on channel 0
2012-06-20 11:35:06,119 | INFO  | Thread-80        | ChannelSession                   | 22 - sshd-core - 0.5.0 | Send SSH_MSG_CHANNEL_CLOSE on channel 0
2012-06-20 11:35:06,121 | INFO  | NioProcessor-1   | ChannelSession                   | 22 - sshd-core - 0.5.0 | Received SSH_MSG_CHANNEL_CLOSE on channel 0
2012-06-20 11:35:06,122 | INFO  | NioProcessor-1   | ServerSession                    | 22 - sshd-core - 0.5.0 | Received SSH_MSG_DISCONNECT (reason=11, msg=disconnected by user)
2012-06-20 11:35:06,122 | INFO  | NioProcessor-1   | ServerSession                    | 22 - sshd-core - 0.5.0 | Closing session
2012-06-20 11:35:30,196 | INFO  | -karaf-2.2.7/etc | fileinstall                      | 6 - org.apache.felix.fileinstall - 3.2.2 | Updated /opt/apache-karaf-2.2.7/etc/org.ops4j.pax.logging.cfg
juin 20, 2012 11:35:58 AM org.apache.karaf.main.SimpleFileLock lock
Infos: locking
2012-06-20 11:35:58,548 | INFO  | FelixStartLevel  | fileinstall                      | 6 - org.apache.felix.fileinstall - 3.2.2 | Installed /opt/apache-karaf-2.2.7/etc/org.ops4j.pax.logging.cfg
2012-06-20 11:35:58,558 | INFO  | FelixStartLevel  | fileinstall                      | 6 - org.apache.felix.fileinstall - 3.2.2 | Installed /opt/apache-karaf-2.2.7/etc/org.apache.karaf.features.obr.cfg
2012-06-20 11:35:58,575 | INFO  | FelixStartLevel  | fileinstall                      | 6 - org.apache.felix.fileinstall - 3.2.2 | Installed /opt/apache-karaf-2.2.7/etc/org.ops4j.pax.url.mvn.cfg
2012-06-20 11:35:58,582 | INFO  | FelixStartLevel  | fileinstall                      | 6 - org.apache.felix.fileinstall - 3.2.2 | Installed /opt/apache-karaf-2.2.7/etc/org.apache.felix.fileinstall-deploy.cfg
2012-06-20 11:35:58,744 | INFO  | FelixStartLevel  | BlueprintExtender                | 10 - org.apache.aries.blueprint - 0.3.1 | No quiesce support is available, so blueprint components will not participate in quiesce operations
2012-06-20 11:35:58,825 | INFO  | FelixStartLevel  | core                             | 14 - org.apache.aries.jmx.core - 0.3.0 | Starting JMX OSGi agent
2012-06-20 11:35:58,877 | INFO  | FelixStartLevel  | core                             | 14 - org.apache.aries.jmx.core - 0.3.0 | Registering MBean with ObjectName [osgi.compendium:service=cm,version=1.3] for service with service.id [10]
2012-06-20 11:35:59,400 | INFO  | rint Extender: 3 | BlueprintContainerImpl           | 10 - org.apache.aries.blueprint - 0.3.1 | Bundle org.apache.karaf.admin.management is waiting for dependencies [(objectClass=org.apache.karaf.admin.AdminService), (objectClass=javax.management.MBeanServer)]
2012-06-20 11:35:59,418 | INFO  | rint Extender: 3 | BlueprintContainerImpl           | 10 - org.apache.aries.blueprint - 0.3.1 | Bundle org.apache.karaf.shell.packages is waiting for namespace handlers 
2012-06-20 11:35:59,456 | INFO  | rint Extender: 1 | BlueprintContainerImpl           | 10 - org.apache.aries.blueprint - 0.3.1 | Bundle org.apache.karaf.jaas.command is waiting for namespace handlers 
2012-06-20 11:35:59,657 | INFO  | rint Extender: 1 | BlueprintContainerImpl           | 10 - org.apache.aries.blueprint - 0.3.1 | Bundle org.apache.karaf.diagnostic.management is waiting for dependencies [(objectClass=javax.management.MBeanServer)]
2012-06-20 11:36:00,246 | INFO  | rint Extender: 2 | BlueprintContainerImpl           | 10 - org.apache.aries.blueprint - 0.3.1 | Bundle org.apache.karaf.features.management is waiting for dependencies [(objectClass=javax.management.MBeanServer)]
2012-06-20 11:36:00,419 | INFO  | rint Extender: 2 | KarArtifactInstaller             | 27 - org.apache.karaf.deployer.kar - 2.2.7 | Karaf archives will be extracted to /opt/apache-karaf-2.2.7/system
2012-06-20 11:36:00,419 | INFO  | rint Extender: 2 | KarArtifactInstaller             | 27 - org.apache.karaf.deployer.kar - 2.2.7 | Timestamps for Karaf archives will be extracted to /opt/apache-karaf-2.2.7/system/.timestamps
2012-06-20 11:36:00,517 | INFO  | rint Extender: 3 | SecurityUtils                    | 22 - sshd-core - 0.5.0 | BouncyCastle not registered, using the default JCE provider
2012-06-20 11:36:00,705 | INFO  | JMX OSGi Agent   | core                             | 14 - org.apache.aries.jmx.core - 0.3.0 | Registering org.osgi.jmx.service.cm.ConfigurationAdminMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@330e3816 with name osgi.compendium:service=cm,version=1.3
2012-06-20 11:36:00,705 | INFO  | JMX OSGi Agent   | core                             | 14 - org.apache.aries.jmx.core - 0.3.0 | Registering org.osgi.jmx.framework.ServiceStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@330e3816 with name osgi.core:type=serviceState,version=1.5
2012-06-20 11:36:00,722 | INFO  | JMX OSGi Agent   | core                             | 14 - org.apache.aries.jmx.core - 0.3.0 | Registering org.osgi.jmx.framework.FrameworkMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@330e3816 with name osgi.core:type=framework,version=1.5
2012-06-20 11:36:00,722 | INFO  | JMX OSGi Agent   | core                             | 14 - org.apache.aries.jmx.core - 0.3.0 | Registering org.osgi.jmx.framework.BundleStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@330e3816 with name osgi.core:type=bundleState,version=1.5
2012-06-20 11:36:00,723 | INFO  | JMX OSGi Agent   | core                             | 14 - org.apache.aries.jmx.core - 0.3.0 | Registering org.osgi.jmx.framework.PackageStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@330e3816 with name osgi.core:type=packageState,version=1.5
2012-06-20 11:36:00,782 | ERROR | rint Extender: 1 | RepositoryImpl                   | 21 - org.apache.karaf.features.core - 2.2.7 | Could not load feature repository: Illegal character in opaque part at index 51: mvn:org.apache.karaf.assemblies.features/standard/${karaf-release-version}/xml/features in feature repository mvn:adnet.crm/features/1.0-SNAPSHOT/xml/features
2012-06-20 11:36:00,782 | ERROR | rint Extender: 1 | RepositoryImpl                   | 21 - org.apache.karaf.features.core - 2.2.7 | Could not load feature repository: Illegal character in opaque part at index 37: mvn:org.apache.cxf.karaf/apache-cxf/${cxf-release-version}/xml/features in feature repository mvn:adnet.crm/features/1.0-SNAPSHOT/xml/features
2012-06-20 11:36:01,798 | INFO  | rint Extender: 2 | BlueprintContainerImpl           | 10 - org.apache.aries.blueprint - 0.3.1 | Bundle org.apache.karaf.admin.command is waiting for dependencies [(objectClass=org.apache.karaf.admin.AdminService)]
2012-06-20 11:36:07,309 | WARN  | Thread-9         | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:07,452 | WARN  | Thread-10        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:08,221 | WARN  | Thread-16        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:08,341 | WARN  | Thread-17        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:08,457 | WARN  | Thread-18        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:08,613 | WARN  | Thread-19        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:09,573 | WARN  | Thread-20        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:09,905 | WARN  | Thread-21        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
